S.No,Name,Year of Birth,Age,Gender,Address,Phone Number,Email,Number of Kids,Accomodation (Rent/Own),Anual Income,Sppeding tickets per year
0,Johnny Rutledge,1959,63,Male,1005/ CEDARCLIFFE/ Pendleton/ Riverton/ WV/ 26814,(304)521-3407,johnny-r1959@orange.fr,0,Rent,13973.52,0
1,Jude Campbell,2021,0,Male,6939/ DROSSETT/ Erie/ North East/ PA/ 16428,(717)992-1810,jud_camp2021@yahoo.fr,0,Rent,0.0,0
2,Bailey Holmes,2016,6,Female,5976/ COOPERS HAWK/ Santa Clara/ San Jose/ CA/ 95171,(949)220-6444,bailey.holmes629@aol.com,0,Rent,0.0,0
3,Eric Lucas,2020,1,Male,3787/ OLTORF/ Frederick/ Emmitsburg/ MD/ 21727,(443)524-5405,eric.lucas07@aol.com,0,Own,0.0,0
4,Theresa Santana,1971,50,Female,1317/ DORIA/ Montgomery/ Dayton/ OH/ 45454,(567)211-7124,theresa.santana@wanadoo.fr,4,Rent,43432.62,1
5,Jordan Gay,2011,11,Male,9636/ N 11700 MOPAC SVRD TO MOPAC NB/ Monmouth/ Neptune/ NJ/ 7753,(862)483-9849,jordan.ga19@yahoo.fr,0,Rent,0.0,0
6,Christina Michael,1984,37,Female,6192/ CRAFTON/ Maricopa/ Phoenix/ AZ/ 85080,(480)901-2204,christi_mich@orange.fr,2,Own,83424.0,11
7,Christine Vincent,1962,60,Female,4135/ BENDER/ Pittsylvania/ Blairs/ VA/ 24527,(571)468-9575,christ_v070162@hotmail.fr,2,Own,31701.12,0
8,Alejandro Gross,2008,13,Male,8163/ HARGRAVE/ Chemung/ Horseheads/ NY/ 14844,(917)240-6141,alejandrogross27@aol.com,0,Rent,0.0,0
9,Johnny Walters,1996,25,Male,4603/ CASSADY/ Marshall/ Douglas/ AL/ 35964,(334)636-4728,j.walte130996@orange.fr,2,Own,60065.28,0
10,Kevin Case,1993,28,Male,155/ BROWN/ Perry/ Cutler/ IL/ 62238,(312)279-5716,kevin.cas@yahoo.fr,3,Own,64392.9,0
11,Evan Salas,2016,5,Male,9089/ DONNELL/ Collin/ Plano/ TX/ 75024,(915)357-5262,evan_salas2016@gmail.com,0,Rent,0.0,0
12,Leon Lee,1948,73,Male,2107/ MOPAC SB TO WILLIAM CANNO/ Hamilton/ Long Lake/ NY/ 12847,(929)924-0229,leo.lee3108@hotmail.fr,0,Own,39365.7,0
13,Lori Campbell,1964,57,Female,5009/ BETTY JO/ Polk/ Des Moines/ IA/ 50350,(319)261-6593,lori.campb2411@msn.com,0,Rent,5214.0,0
14,Kathryn Dyer,1964,57,Female,4185/ FAWNRIDGE/ Dane/ Marshall/ WI/ 53559,(920)364-7692,kathryn.dyer1964@hotmail.com,3,Own,48803.04,2
15,Vickie Hull,1961,60,Female,8405/ PONTON/ Howard/ Umpire/ AR/ 71971,(479)606-1074,vickie-hull790@wanadoo.fr,0,Own,82224.78,0
16,Jonathan Payne,2003,18,Male,6850/ GREENHILL/ Schuylkill/ Mar Lin/ PA/ 17951,(272)570-0327,jonathanpay571@yahoo.com,0,Rent,19500.36,4
17,Casey Bridges,1985,36,Female,8727/ CEDAR POINT/ Kenai Peninsula/ Homer/ AK/ 99603,(907)464-1995,casbridges1985@aol.com,1,Rent,24662.22,13
18,Toni Wagner,1966,55,Female,6515/ 8TH/ Vinton/ Wilkesville/ OH/ 45695,(330)543-8496,toni.wag0211@wanadoo.fr,0,Rent,27529.920000000002,1
19,Kathleen Griffin,1989,32,Female,2426/ CLEAR VIEW/ Ohio/ Wheeling/ WV/ 26003,(304)205-4622,kathlee.g23@gmail.com,0,Rent,20595.3,5
20,Whitney Dillon,1986,35,Female,547/ HARTHAN/ Jefferson/ Mingo Junction/ OH/ 43938,(220)233-2076,whitn-dil3108@hotmail.co.uk,0,Own,62776.56,9
21,Levi Carroll,1991,30,Male,5065/ DANIEL BOONE/ Broome/ Maine/ NY/ 13802,(607)775-1881,le-ca1991@yahoo.fr,0,Rent,32587.5,0
22,Andrea Cooke,2008,13,Female,2944/ DIANA/ Fairfield/ New Canaan/ CT/ 6842,(203)446-4183,a-cooke241108@wanadoo.fr,0,Rent,0.0,0
23,Jake Bowen,2010,11,Male,3360/ RHETT/ Fort Bend/ Thompsons/ TX/ 77481,(210)903-5226,ja_b2010@hotmail.co.uk,0,Rent,0.0,0
24,Lily Russell,2004,18,Female,8981/ DANIEL/ Owen/ Gosport/ IN/ 47433,(219)591-5802,lily-russell2004@yahoo.fr,0,Rent,5996.1,0
25,Trinity Jordan,2020,1,Female,2957/ N IH 35 SB TO 12TH/ Washoe/ Incline Village/ NV/ 89450,(775)271-4439,trini_jordan29@hotmail.co.uk,0,Rent,0.0,0
26,Alice Fischer,2017,5,Female,7474/ DORAL/ Collin/ Plano/ TX/ 75093,(682)997-2261,alice_fis2017@wanadoo.fr,0,Rent,0.0,0
27,Vivian Daniels,1952,70,Female,6463/ BETH/ Gallatin/ Bozeman/ MT/ 59773,(406)765-6520,vidaniels1704@yahoo.com,2,Own,4275.4800000000005,0
28,Katherine Reid,2003,18,Female,7953/ LOLA/ Mcleod/ Silver Lake/ MN/ 55381,(218)833-9813,katherin_re2003@gmail.com,0,Rent,29406.96,13
29,Kirsten Miller,1999,23,Female,4803/ LAGUNA LOMA/ Prince George/ Prince George/ VA/ 23875,(757)734-1067,kirsten_mill300199@yahoo.fr,0,Rent,677.82,0
30,Leonardo Cooke,2006,15,Male,2285/ CASPIAN/ Medina/ Wadsworth/ OH/ 44281,(937)431-3229,leonardo-cooke17@aol.com,0,Rent,0.0,7
31,Diamond Webb,1999,22,Female,4097/ JAMES/ / Apo/ AE/ 9496,(827)710-4539,dia.webb03@orange.fr,1,Rent,49950.12,7
32,Javier Cherry,1991,31,Male,7572/ N 35 SB TO PARK THIRTY FI/ San Miguel/ Las Vegas/ NM/ 87701,(505)526-4448,javie-ch29@msn.com,1,Own,64340.76,9
33,Albert Murray,1938,83,Male,5172/ BESCOTT/ Brown/ Green Bay/ WI/ 54311,(920)560-7414,alb-murray1938@gmail.com,0,Own,55320.54,0
34,Sean Shaffer,1983,38,Male,9986/ BROWNIE/ Gloucester/ Dutton/ VA/ 23050,(540)393-0753,sea.s1983@wanadoo.fr,0,Own,84675.36,0
35,Abraham Woods,2014,7,Male,6519/ REVERE/ Allen/ Lima/ OH/ 45801,(220)506-6924,abraham.woods24@hotmail.com,0,Own,0.0,0
36,Edwin Miller,1965,57,Male,1381/ DOUBLE SPUR/ Harris/ Houston/ TX/ 77085,(832)491-6878,edwi.mil963@hotmail.com,0,Own,119348.46,1
37,Aaliyah May,2006,15,Female,8307/ DUNLIEGH/ Fleming/ Elizaville/ KY/ 41037,(606)422-0830,aaliyah.ma2008@gmail.com,0,Rent,0.0,23
38,Dawn Pittman,1989,33,Female,3162/ BRENHAM/ Duchesne/ Roosevelt/ UT/ 84066,(801)904-5346,dawn-pittman2702@hotmail.fr,0,Rent,33004.62,8
39,Sean Ramos,2001,20,Male,8141/ LEEDS/ Saline/ Benton/ AR/ 72158,(870)275-7346,s_r@hotmail.fr,0,Rent,43536.9,0
40,Angela Houston,2009,13,Female,8233/ SYCAMORE/ Stevens/ Springdale/ WA/ 99173,(360)583-1822,angela.houston2009@orange.fr,0,Rent,0.0,0
41,Caroline Fuller,1994,27,Female,194/ DITTMAR OAKS/ Aroostook/ Wallagrass/ ME/ 4781,(207)398-1941,caroli-fuller248@orange.fr,0,Rent,19343.94,0
42,Cody West,2003,18,Male,6060/ KINGS/ Allegheny/ Duquesne/ PA/ 15110,(215)965-9377,cody.we218@hotmail.com,0,Rent,32848.2,0
43,Cole Vance,2015,6,Male,8996/ DUNSMERE/ Bedford/ Hopewell/ PA/ 16650,(814)540-8656,cole.vance@aol.com,0,Rent,0.0,0
44,William Vance,2003,18,Male,867/ 18TH/ District Of Columbia/ Washington/ DC/ 20042,(202)740-6341,wil-vance25@wanadoo.fr,0,Rent,4171.2,1
45,Kaitlyn Foley,1995,27,Female,5772/ BLACK LOCUST/ Allegheny/ Clairton/ PA/ 15025,(215)425-2045,kai.foley0102@orange.fr,3,Own,64184.340000000004,0
46,Connor Bennett,1998,23,Male,859/ WOODWARD/ Lamar/ Kennedy/ AL/ 35574,(256)975-4551,c.be210898@hotmail.co.uk,1,Own,59752.44,7
47,Willow Lester,2019,3,Female,3388/ DIXIE/ Marion/ Indianapolis/ IN/ 46298,(812)650-4074,willow-le2019@yahoo.fr,0,Rent,0.0,0
48,Marlene Cotton,1951,71,Female,6445/ CORA/ Goshen/ Veteran/ WY/ 82243,(307)890-0582,ma_cotton1951@hotmail.com,1,Own,51357.9,0
49,Bobby Romero,1949,72,Male,1181/ CRYSTAL SHORE/ Kent/ Grand Rapids/ MI/ 49516,(248)936-2907,bobromer23@yahoo.fr,2,Rent,30658.32,0
50,Randall Morton,1971,50,Male,1233/ BRIDLE/ Rhea/ Evensville/ TN/ 37332,(731)240-9093,ra.morto1971@hotmail.co.uk,3,Own,83841.12,0
51,Caroline Walls,2006,15,Female,1962/ BERYL OAK/ Summit/ Akron/ OH/ 44316,(440)790-5334,carolin.walls@hotmail.co.uk,0,Rent,0.0,0
52,Juan Curry,1944,77,Male,8915/ PINELEAF/ East Baton Rouge/ Baton Rouge/ LA/ 70879,(985)905-9425,jucurry09@aol.com,0,Own,61890.18,0
53,Angel Hicks,1986,36,Male,4111/ CLEARCREEK/ Kern/ Cantil/ CA/ 93519,(935)706-4549,angel-hicks@msn.com,0,Own,89785.08,4
54,Derrick Mann,1961,60,Male,2263/ CLOVIS/ Montgomery/ Rockville/ MD/ 20849,(443)276-7891,d_m@orange.fr,0,Own,115802.94,0
55,Carrie Landry,1979,43,Female,8237/ OXFORD/ Jefferson/ Kenner/ LA/ 70064,(318)703-6403,carrie.lan1979@hotmail.co.uk,1,Rent,3180.54,0
56,Sally Huber,1966,56,Female,6792/ NORTH/ Hockley/ Levelland/ TX/ 79338,(956)887-7604,sally.huber1966@yahoo.com,0,Own,13399.98,0
57,Lewis Dawson,1945,77,Male,7306/ OLYMPIC/ East Baton Rouge/ Baton Rouge/ LA/ 70837,(318)226-3287,lewis-da@yahoo.com,0,Own,100160.94,0
58,Michael Melendez,2017,4,Male,8438/ PARKDALE/ Hamilton/ Noblesville/ IN/ 46061,(574)256-9345,mic.melendez240517@hotmail.co.uk,0,Rent,0.0,0
59,Veronica Mitchell,2005,16,Female,4218/ CECIL/ Livingston/ Ledbetter/ KY/ 42058,(270)233-6864,veronicamitchell24@gmail.com,0,Rent,28207.74,18
60,Margaret Fletcher,1961,60,Female,8322/ DOCTOR SCOTT/ Calhoun/ De Armanville/ AL/ 36257,(256)412-8993,margaretfl1961@aol.com,0,Own,53912.76,1
61,Kyle Morrow,1990,31,Male,592/ DENTON/ New York/ New York/ NY/ 10170,(917)380-9769,kyle-morrow@orange.fr,0,Rent,4744.74,7
62,Cynthia Meadows,1999,23,Female,4279/ CURRYWOOD/ Broward/ Fort Lauderdale/ FL/ 33331,(927)543-5710,cynt_me315@hotmail.fr,0,Rent,27373.5,5
63,Eva Bender,2009,12,Female,9826/ BRIDAL/ Evangeline/ Chataignier/ LA/ 70524,(504)997-1314,eva.ben2009@hotmail.fr,0,Rent,0.0,0
64,Dylan Goff,2011,11,Male,8573/ CYRILLA/ Dukes/ Oak Bluffs/ MA/ 2557,(351)578-1864,dyl_go070211@hotmail.co.uk,0,Rent,0.0,0
65,Casey Cain,1995,26,Male,1647/ N IH 35 NB TO AIRPORT/ Delaware/ Glen Riddle Lima/ PA/ 19037,(272)350-0915,case_c1995@hotmail.fr,0,Own,69241.92,0
66,Carol Acevedo,1949,73,Female,8951/ COMSTOCK/ Shelby/ Pelham/ AL/ 35124,(205)297-7469,caro.acevedo050249@yahoo.fr,3,Own,33578.16,0
67,Sarah Rhodes,1983,38,Female,9165/ PILLION/ Snyder/ Paxtonville/ PA/ 17861,(215)521-4609,sara.rhodes49@yahoo.fr,1,Own,55268.4,0
68,Bruce Yang,1971,50,Male,8659/ DRINGENBERG/ Hamilton/ Atlanta/ IN/ 46031,(260)643-5692,bruce-ya1908@yahoo.fr,0,Own,55007.7,0
69,Todd Reyes,1951,70,Male,1891/ PRESTWOOD/ Simpson/ Harrisville/ MS/ 39082,(228)356-8029,todd.reyes080551@orange.fr,0,Own,101620.86,0
70,Troy Rush,1971,51,Male,155/ FITZHUGH/ Rutherford/ Ellenboro/ NC/ 28040,(980)244-1525,troy.ru18@hotmail.fr,0,Own,99639.54000000001,0
71,Julia Mckinney,1949,72,Female,5651/ 10TH/ Navarro/ Dawson/ TX/ 76639,(682)845-5535,ju.mckinney1405@hotmail.co.uk,0,Own,8707.38,0
72,Virginia Hicks,1955,66,Female,8707/ DOROTHY/ Westchester/ Ossining/ NY/ 10562,(607)915-6966,virginia.hicks489@wanadoo.fr,0,Own,55894.08,0
73,Ronnie Lowery,1967,55,Male,6949/ SUNNY VALE/ Sherburne/ Clear Lake/ MN/ 55319,(651)261-5957,r.lowery06@msn.com,0,Own,56624.04,0
74,Arthur Tanner,1976,45,Male,8743/ COURI/ Gilmer/ Lockney/ WV/ 25258,(304)897-9760,art_tanner07@orange.fr,0,Own,53599.92,0
75,Genesis Hudson,2007,15,Female,3022/ DESCO/ Allegheny/ Pittsburgh/ PA/ 15227,(878)608-0271,genesis-h249@hotmail.co.uk,0,Rent,0.0,0
76,Amber Turner,2008,13,Female,5008/ 47TH/ Chatham/ Savannah/ GA/ 31415,(478)488-6582,ambe_turner08@msn.com,0,Rent,0.0,0
77,Jordan Hayden,1984,37,Female,5067/ CASCADE/ George/ Lucedale/ MS/ 39452,(769)353-4109,jordan.hayden28@hotmail.fr,0,Own,85248.9,0
78,Stefanie Lawson,1986,35,Female,3479/ DEVEREUX/ Allegheny/ Coulters/ PA/ 15028,(215)306-5748,stefan-laws241186@wanadoo.fr,0,Own,85666.02,5
79,Maverick Kelly,2015,6,Male,513/ PILGRIMS/ Monroe/ Sparta/ WI/ 54656,(262)200-6199,mave-kelly30@hotmail.com,0,Rent,0.0,0
80,Angelica Rose,2008,13,Female,6363/ DALEWOOD/ Orleans/ New Orleans/ LA/ 70143,(985)218-7251,angelicarose@hotmail.com,0,Rent,0.0,0
81,Rick Suarez,1964,57,Male,4578/ HUNTERS/ Henry/ Colona/ IL/ 61241,(708)322-7892,r_suarez@hotmail.fr,0,Own,51305.76,0
82,Aaliyah Coleman,2017,4,Female,2717/ CHALET/ Richland/ Columbia/ SC/ 29202,(864)869-1354,aaliya-coleman@hotmail.co.uk,0,Rent,0.0,0
83,Marcus Levine,1988,33,Male,9464/ DEXFORD/ Dekalb/ Conley/ GA/ 30288,(770)431-7370,ma_levine2108@hotmail.fr,0,Rent,2450.58,1
84,Roy Vinson,1955,67,Male,6480/ DELMONICO/ Mobile/ Axis/ AL/ 36505,(251)565-9107,ro-vin17@hotmail.com,0,Own,83788.98,0
85,Alan Stokes,1957,65,Male,1616/ 30TH/ Linn/ Center Point/ IA/ 52213,(319)402-8043,a_stoke1957@wanadoo.fr,3,Own,17675.46,0
86,Norma Rios,1963,58,Female,9969/ CRANBERRY/ Anne Arundel/ Davidsonville/ MD/ 21035,(301)765-0904,norm-rios2705@orange.fr,0,Rent,41555.58,0
87,Judith Hanson,1963,58,Female,5600/ CEDAR BRANCH/ Lexington/ Pelion/ SC/ 29123,(864)919-4537,j-hanson090863@wanadoo.fr,0,Rent,31284.0,0
88,Debra Montgomery,1954,67,Female,8063/ COLLEGE/ Sullivan/ Green City/ MO/ 63545,(314)383-9598,debra_mont1954@aol.com,2,Rent,19031.1,0
89,Floyd Griffin,1954,68,Male,895/ LIBERTY/ Nassau/ New Hyde Park/ NY/ 11042,(718)821-1262,floydgriffin929@orange.fr,3,Own,66999.9,0
90,Paul Fisher,1989,33,Male,9387/ HARGRAVE/ Aiken/ Graniteville/ SC/ 29829,(843)701-2641,paul_fisher@aol.com,0,Rent,38375.04,2
91,Christine Hines,1953,68,Female,2703/ EVANS/ Florence/ Johnsonville/ SC/ 29555,(803)976-3624,chri_hines@hotmail.co.uk,0,Own,28885.56,0
92,Sheryl Wooten,1954,67,Female,1022/ GRIFFITH/ Clay/ Hima/ KY/ 40951,(859)824-4591,sherywooten1954@orange.fr,0,Own,60221.7,0
93,Deborah Woods,1976,45,Female,5738/ NORTH/ Mahaska/ New Sharon/ IA/ 50207,(641)513-2753,de.wo2810@yahoo.com,0,Own,51045.06,3
94,Jack Sandoval,1990,32,Male,8083/ DEEDE/ Jackson/ Millston/ WI/ 54643,(414)891-8112,jac_sa@hotmail.fr,0,Own,69450.48,0
95,Marsha Avery,1950,71,Female,418/ 53RD HALF/ Cuyahoga/ Solon/ OH/ 44139,(614)796-0762,marsha.av200550@hotmail.co.uk,1,Own,68199.12,0
96,Joe Pitts,1981,41,Male,1709/ CLEAROCK/ El Paso/ El Paso/ TX/ 79926,(512)544-1994,joe.pitts@orange.fr,2,Rent,42859.08,6
97,Angel Bell,1984,37,Female,3574/ CASHELL WOOD/ Maricopa/ Scottsdale/ AZ/ 85256,(928)565-9345,a.bel743@orange.fr,0,Rent,21690.24,0
98,Angela Horne,1989,33,Female,641/ MARINERS/ Barnstable/ Centerville/ MA/ 2632,(617)355-9247,ange_ho3103@yahoo.fr,1,Rent,3128.4,0
99,Haley Fulton,2007,15,Female,3371/ DAYTONA/ Gloucester/ Harrisonville/ NJ/ 8039,(551)320-4011,hal_fulton200407@yahoo.fr,0,Own,0.0,10
100,Elizabeth Pierce,1948,73,Female,1503/ BUCKSKIN/ Cameron/ Emporium/ PA/ 15834,(717)617-1177,elizabeth.pi05@msn.com,0,Own,1199.22,0
101,Brenda Mack,1976,45,Female,7612/ N IH 35 LD SB TO MLK/ Lee/ Nachusa/ IL/ 61057,(224)600-7692,brendama464@msn.com,2,Own,76906.5,0
102,Diana Wright,1956,66,Female,7517/ MORGANS POINT/ New Castle/ Wilmington/ DE/ 19892,(302)861-6958,dia.wright@hotmail.com,3,Own,64653.6,0
103,Dale Horton,1943,78,Male,6670/ BLACK LOCUST/ Gallia/ Thurman/ OH/ 45685,(513)253-1741,da-horto281243@msn.com,0,Own,81390.54000000001,0
104,Elias Sanchez,2005,17,Male,7910/ CHEYENNE/ Mississippi/ Wolf Island/ MO/ 63881,(975)660-9040,eli_sanchez2005@yahoo.fr,0,Own,47447.4,16
105,Ryan Powell,2007,15,Male,4186/ CROCKETT/ Collin/ Mc Kinney/ TX/ 75070,(210)691-6939,rya.powell050407@msn.com,0,Rent,0.0,4
106,Sally Barnett,1950,72,Female,3613/ 23RD/ Greene/ Round Top/ NY/ 12473,(845)941-6618,sallybarnett504@wanadoo.fr,1,Own,33630.3,0
107,Gregory Hamilton,1981,40,Male,266/ 22ND/ Ferry/ Curlew/ WA/ 99118,(253)405-6803,gr_hami18@hotmail.fr,0,Own,73204.56,2
108,Cristian Donovan,1998,23,Male,7055/ ELDER/ Oconto/ Little Suamico/ WI/ 54141,(414)567-7544,cristian-do0705@hotmail.fr,0,Rent,41607.72,0
109,Kimberly Rosario,1996,25,Female,9851/ LEANNA WOODS/ Tarrant/ Arlington/ TX/ 76016,(806)287-7702,kimberly.rosario1996@wanadoo.fr,0,Own,51670.74,0
